renda,consumo,valor,maquina
6547.82,28.66666667,2.774302326,1
3142.23,5.666666667,9.070588235,1
12962.21,3.666666667,9.092727273,1
512.11,3.333333333,8.736,1
312.27,.3333333333,33.6,1
1209.94,3.333333333,8.838,1
2907.23,3.333333333,8.364,1
498,5,9.144,1
2303.01,5.333333333,8.82,1
853.71,5,8.836,1
2874.66,3.333333333,7.89,1
2508.64,3.333333333,7.89,1
1845.43,3.333333333,8.118,1
6931.89,5,6.784,1
877.43,3.333333333,7.89,1
2990.6,5,6.784,1
10968.2,6,9.745,1
2426.01,3.333333333,8.883,1
4763.92,6.666666667,8.736,1
10666.56,8,8.83625,0
6797.6,6.666666667,8.8365,1
27821.86,7,7.791428571,1
7405.87,10,7.89,1
17038.94,10,7.89,1
12707.2,8.666666667,11.71153846,0
2516.93,8.333333333,8.0832,1
2585.21,5.666666667,7.89,1
1718.96,2.666666667,9.75,0
7482.3,4,20,1
1477.26,6,18.33333333,1
2672.23,4,6,1
959.1,2.666666667,9,1
3427.27,3,11.33333333,1
5479,13,8.923076923,0
1934.07,4.333333333,9.318461538,0
2711.08,12.66666667,8.921052632,0
2004.13,6.666666667,8.8935,0
2588.32,14.66666667,7.891363636,0
4844.41,6.666666667,9.0015,1
1336.63,5.666666667,7.905882353,1
3515.8,5,6.784,1
992,3.333333333,9.051,0
1326.33,10,1.68,1
3826.56,8.666666667,8.934230769,0
1324.17,13.33333333,1.8,1
1321.95,10,3.5,1
2060,15,1.333333333,1
1756.05,8,7.3675,1
3238.42,5,3.954,1
1630.7,5,4.05,1
1529,5,4.618,1
1059.32,3.333333333,7.968,0
802.6,3.333333333,8.082,0
1819.6,3.333333333,7.89,1
2003.45,5,7.89,1
634.81,3.333333333,8.118,1
1870.79,12.66666667,8.921052632,1
808.17,15,1.466666667,1
1087.29,5,4.086,0
1756.62,5.333333333,3.9975,1
2091.67,5,4.486,1
1498.65,5,4.32,1
2112.03,9.333333333,4.236428571,1
2867.8,5,4.042,1
792,3.333333333,20.208,0
15249.7,3.666666667,7.090909091,1
2358.17,3.333333333,8.67,0
8114.21,3.333333333,8.67,1
3482.42,3.333333333,8.4,1
7877.06,10,9.015,1
3316.27,3.333333333,16.494,1
3499.44,5.666666667,9.18,1
3232.6,6.666666667,8.55,1
2790.68,9,8.67,1
13556.08,13,6.657692308,1
5059.4,128.3333333,.2477142857,1
3572,6.666666667,7.89,0
1237.5,5,5.938,1
1980,5,8.93,0
1769.47,5,8.93,0
2462.79,1,17.92,1
